id,english,kinyarwanda,example_en,example_rw,etymology,category,contributed_by,source,date_added,created_at
6,Anemia,Kubura amaraso,Anemia can cause fatigue and weakness.,Kubura amaraso bishobora gutera umunaniro n'intege nke.,"'Kubura' means 'to lack,' 'amaraso' means 'blood' — literally 'lacking blood.' This descriptive translation immediately communicates the condition to patients.",Hematology,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.249349,2026-04-02T21:37:11.249352
11,Anxiety,Ihangayika rikabije,The study measured anxiety levels among NCD patients.,Ubushakashatsi bwapimye urwego rw'ihangayika rikabije mu barwayi b'indwara zitandura.,'Ihangayika' means worry or agitation. Adding 'rikabije' (severe) elevates it from everyday worry to the clinical concept of anxiety disorder.,Mental Health,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.256788,2026-04-02T21:37:11.256789
91,Assessment (clinical),Amabazwa nsuzumabumenyi bwa kiganga,Children play an important role in these clinical assessments.,Abana bagira umumaro w'ingenzi muri aya mabazwa.,From 'kubaza' (to question/examine). 'Amabazwa' = the things asked or examined. Existing Kinyarwanda term repurposed for clinical context. 'Kiganga' implies the clinical scope.,Clinical Practice,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.587519,2026-04-19T06:16:14.587521
13,Asthma,Gusemeka / Isemeka,Asthma patients require regular follow-up at NCD clinics.,Abarwayi barwaye gusemeka bakeneye gukurikiranwa buri gihe mu mavuriro y'indwara zitandura.,"'Gusemeka' is the verbal form meaning 'to have difficulty breathing,' while 'isemeka' is the nominal form.",Pulmonology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.259554,2026-04-02T21:37:11.259556
67,Barriers to care,Imbogamizi zibangamira kwitabwaho / Imbogamizi zibuza kuvurwa,What are the challenges you face in implementing strategies prescribed by the doctor?,Imbogamizi zibangamira kwitabwaho uhura nazo mu gushyira mu bikorwa ingamba wahawe na muganga nizihe?,'Imbogamizi' = obstacles (from 'kubogamiza' = to obstruct). 'Zibangamira kwitabwaho' = that hinder being cared for. 'Zibuza kuvurwa' = that prevent being treated.,Health Systems,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.354589,2026-04-02T21:37:11.354591
54,Blood glucose level,Isukari mu maraso,My blood sugar tends to increase.,Isukari yanjye ishaka kuzamuka.,'Isukari' = sugar. 'Mu maraso' = in the blood. Transparent compound used universally by patients — never the clinical term 'glycemia.',Endocrinology,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.338147,2026-04-02T21:37:11.338149
57,Blood sugar measurement,Igipimo cy'isukari,"I, too, will reach the readings below two hundred.",Nanjye nzabone ibipimo biri munsi ya magana abiri.,'Igipimo' = measurement/level/reading (from 'gupima' = to measure). 'Cy'isukari' = of sugar.,Clinical Practice,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.341696,2026-04-02T21:37:11.341698
78,Brain,Ubwonko,,,,Anatomy,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.551154,2026-04-19T06:16:14.551156
79,Brain cancer,Kimungu y'ubwonko,,,"'Kimungu' = cancer, from the verb 'kumunga' (to eat up) — what tumors do to the living cells of the organ they attack. 'Y'ubwonko' = of the brain.",Oncology / Neurology,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.554023,2026-04-19T06:16:14.554026
90,Clinical and communication skills,Ubushobozi bwo kumvikana n'abarwayi binyuze mu kubumva no kubatega amatwi,Future doctors develop essential clinical and communication skills in supervised settings.,Abaganga b'ejo hazaza bagaragaza ubushobozi bwo kumvikana n'abarwayi binyuze mu kubumva no kubatega amatwi mu mikorere yagenzuwe.,"Literally: 'ability to communicate with patients through understanding and listening to them.' Functional, descriptive translation that captures both clinical and communication dimensions.",Clinical Practice,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.584519,2026-04-19T06:16:14.584520
